UNIQ_ID;event_date;event_type;conformance
1;2015-02-09; устное сообщение о преступлении ;1.000
1;2015-02-09;приобщено к материалам сообщения;1.000
2;2015-02-08;сообщение о происшествии ;0.875
2;2015-02-08;возбуждено уголовное дело ;0.875
2;2015-02-08;появление потерпевшего ;0.875
2;2015-03-26;дело направлено прокурору в порядке ст. 220 УПК РФ;0.875
2;2015-05-15;дело направлено прокурором в суд в порядке ч. 1 ст. 221 УПК РФ ;0.875
3;2015-02-10;сообщение поступило по телефону;0.851
3;2015-02-11;возбуждено уголовное дело;0.851
3;2015-02-14;появление потерпевшего;0.851
3;2015-03-12;дело направлено прокурору в порядке ст. 220 УПК РФ;0.851
3;2015-03-12;дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 221 УПК РФ;0.851
3;2015-03-14;дело направлено прокурору в порядке ст. 220 УПК РФ;0.851
3;2015-03-14;дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 221 УПК РФ;0.851
3;2015-03-17;дело направлено прокурору в порядке ст. 220 УПК РФ;0.851
3;2015-03-17;дело возвращено на дополнительное расследование прокурором в порядке п. 2 ч. 1 ст. 221 УПК РФ;0.851
3;2015-03-18;дело направлено прокурору в порядке ст. 220 УПК РФ;0.851
3;2015-03-19;дело направлено прокурором в суд в порядке п. 1 ч. 5 ст. 439 УПК РФ;0.851
3;2015-03-28;рассмотрено судом;0.851
4;2012-01-09;сообщение о происшествии;1.000
4;2012-01-09;возбуждено уголовное дело;1.000
4;2012-01-16;появление потерпевшего;1.000
4;2012-02-24;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ;1.000
5;2012-01-10;сообщение о происшествии;1.000
5;2012-01-10;возбуждено уголовное дело;1.000
5;2012-01-17;появление потерпевшего;1.000
5;2012-02-20;дело направлено прокурору в порядке ст. 220 УПК РФ;1.000
5;2012-02-26;дело направлено прокурором в суд в порядке ч. 1 ст. 221 УПК РФ;1.000
6;2012-01-11;сообщение о происшествии;1.000
6;2012-01-11;возбуждено уголовное дело;1.000
6;2012-01-18;появление потерпевшего;1.000
6;2012-03-21;дело направлено прокурору в порядке ст. 225 УПК РФ;1.000
6;2012-03-29;дело направлено прокурором в суд в порядке ч. 1 ст. 226 УПК РФ;1.000
7;2012-01-12;сообщение о происшествии;1.000
7;2012-01-12;возбуждено уголовное дело;1.000
7;2012-01-19;появление потерпевшего;1.000
7;2012-02-21;дело направлено прокурору в порядке ст. 225 УПК РФ;1.000
7;2012-02-28;дело направлено прокурором в суд в порядке ч. 1 ст. 226 УПК РФ;1.000
8;2012-01-13;сообщение о происшествии;0.700
8;2012-01-13;возбуждено уголовное дело;0.700
8;2012-01-20;появление потерпевшего;0.700
8;2012-02-19;доследственная проверка продлена;0.700
8;2012-04-01;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ;0.700
9;2012-01-14;сообщение о происшествии;1.000
9;2012-01-14;возбуждено уголовное дело;1.000
9;2012-01-20;появление потерпевшего;1.000
9;2012-03-15;дело приостановлено по п. 2 ч. 1 ст. 208 УПК РФ;1.000
10;2012-01-15;сообщение о происшествии;1.000
10;2012-01-15;возбуждено уголовное дело;1.000
10;2012-02-27;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ;1.000
11;2012-01-15;сообщение о происшествии;0.889
11;2012-02-15;доследственная проверка продлена;0.889
11;2012-02-26;возбуждено уголовное дело;0.889
11;2012-03-01;появление потерпевшего;0.889
11;2012-04-03;дело приостановлено по п. 1 ч. 1 ст. 208 УПК РФ;0.889
